Algoma,0.00%,0.00%,0.00%,0.00%,
Brock University,31.00%,53.00%,13.00%,3.00%,
Carleton University,32.50%,50.30%,14.00%,3.20%,
University of Guelph,47.80%,42.00%,8.30%,1.90%,
Lakehead University,19.00%,50.00%,26.00%,5.00%,
Laurentian University,21.00%,52.90%,21.00%,5.10%,
McMaster University,38.00%,48.00%,12.00%,2.00%,
Nipissing University,38.00%,48.00%,12.00%,2.00%,
OCAD University,20.00%,50.00%,24.00%,6.00%,
University of Ottawa,16.90%,56.90%,21.30%,4.90%,
Ottawa » Saint Paul University,41.00%,54.00%,4.00%,0.00%,
Ontario Tech University,23.50%,49.90%,20.40%,6.30%,
Queen's University,50.80%,39.50%,7.90%,1.90%,
Ryerson University,21.00%,54.00%,20.00%,5.00%,
Toronto » All Campuses,25.20%,47.70%,21.60%,5.50%,
Trent University,38.40%,50.20%,11.00%,0.40%,
University of Waterloo,30.20%,49.10%,16.50%,4.10%,
Western » Main Campus,41.00%,47.00%,11.00%,2.00%,
Western » Brescia University College,49.00%,39.00%,11.00%,1.00%,
Western » Huron University College,0.00%,0.00%,0.00%,0.00%,
Western » King's University College,42.00%,51.00%,6.00%,1.00%,
Wilfrid Laurier University,35.00%,51.00%,12.00%,2.00%,
University of Windsor,17.10%,55.40%,22.50%,5.00%,
York University,20.90%,53.40%,21.10%,4.50%,
