Carleton University, 84.3, 85.0, 11755, 379, 45.3876, -75.6960, 27811, 12602.71, 10
University of Guelph, 87.3, 85.0, 12806, 169, 43.5327, -80.2262, 27997, 8632, 6
Lakehead University, 81.9, 70.0, 8956, 337, 48.4211, -89.2607, 8446, 13284, 13
Laurentian University, 82.5, 75.0, 9461, 165, 46.4700, -80.9745, 7897, 8202, 14
McMaster University, 91.1, 85.0, 11194, 232, 43.2609, -79.9192, 30994, 9350, 3
University of Ottawa, 85.3, 75.0, 6332, 13, 45.4231, -75.6831, 38959, 10695, 8
Ontario Tech University, 81.3, 75.0, 12010, 126, 43.9458, -78.8960, 8924, 11
Queen's University, 91.1, 85.0, 13243, 283, 44.2253, -76.4951, 28553, 7700, 4
Ryerson University, 86.6, 80.0, 11163, 743, 43.6577, -79.3788, 39471, 12652.06, 7
Toronto » All Campuses, 93.3, 85.0, 15864, 637,  43.6629, -79.3857, 87083, 15781, 1
University of Waterloo, 93.1, 85.0, 15115, 741, 43.4723, -80.5449, 38739, 9375, 2
Western » Main Campus, 89.6, 85.0, 13762, 332, 43.00995, -81.273613, 38376, 14910, 5
University of Windsor, 84.6, 75.0, 10638, 163, 42.3043, -83.0660, 15569, 8164, 12
York University, 84.3, 75.0, 14450, 772, 43.7735, -79.5019, 46906, 12351, 9
