Carleton University,"$10,522 ","$1,233 ","$11,755 ",
University of Guelph,"$11,286 ","$1,520 ","$12,806 ",
Lakehead University,"$7,702 ","$1,254 ","$8,956 ",
Laurentian University,"$8,069 ","$1,392 ","$9,461 ",
McMaster University,"$10091","$1103","$11194 ",
Ottawa » Saint Paul University,"$4750","$1,582","$6332 ",
Ontario Tech University,"$9,390 ","$2,620 ","$12,010 ",
Queen's University,"$11,915 ","$1,329 ","$13,243 ",
Ryerson University,"$10,189 ",$974 ,"$11,163 ",
Toronto » All Campuses,"$14,180 ","$1,684 ","$15,864 ",
University of Waterloo,"$13,970 ","$1,145 ","$15,115 ",
Western » Main Campus,"$12,294 ","$1,468 ","$13,762 ",
University of Windsor,"$9,509 ","$1,129 ","$10,638 ",
York University,"$12,626","$1824","14450 ",
